,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment
0,2017-12-07,62.400002,63.726002,62.209998999999996,62.248001,62.248001,23903000,0.0
1,2017-12-08,62.919998,63.396,62.251999,63.026001,63.026001,17342500,0.20105
2,2017-12-11,62.925999,65.802002,62.75,65.781998,65.781998,39690000,0.10638333333333334
3,2017-12-12,66.089996,68.288002,66.005997,68.206001,68.206001,43666000,0.0
4,2017-12-13,68.185997,68.844002,67.300003,67.806,67.806,31107500,0.01479999999999998
5,2017-12-14,68.202003,69.487999,67.379997,67.57800300000001,67.57800300000001,28999500,0.42837499999999995
6,2017-12-15,68.407997,68.779999,67.152,68.690002,68.690002,34666000,-0.15707
7,2017-12-18,68.980003,69.346001,67.515999,67.774002,67.774002,27381000,0.2997
8,2017-12-19,68.052002,68.297997,66.059998,66.220001,66.220001,34125000,0.2463
9,2017-12-20,66.538002,66.620003,65.008003,65.795998,65.795998,29769000,0.0628
10,2017-12-21,65.917999,66.748001,65.442001,66.332001,66.332001,21926000,0.04261538461538462
11,2017-12-26,64.765999,64.788002,63.316002000000005,63.458,63.458,21892000,0.32975000000000004
12,2017-12-27,63.200001,63.535999,62.150002,62.327999,62.327999,23560500,0.0
13,2018-01-03,64.199997,65.050003,63.110001000000004,63.450001,63.450001,22607500,0.4424333333333334
14,2018-01-05,63.324001,63.448002,62.400002,63.316002000000005,63.316002000000005,22956000,-0.08333333333333333
15,2018-01-08,63.200001,67.403999,63.099998,67.281998,67.281998,49297000,0.0
16,2018-01-09,67.031998,67.760002,65.480003,66.737999,66.737999,35733000,0.1591
17,2018-01-12,67.725998,68.082001,66.734001,67.244003,67.244003,24125500,0.8705
18,2018-01-18,69.134003,70.459999,68.748001,68.914001,68.914001,28429000,0.3592
19,2018-01-24,70.916,70.949997,68.704002,69.178001,69.178001,26437500,0.27395
20,2018-01-29,67.970001,70.16999799999999,67.655998,69.905998,69.905998,23735500,0.15234444444444445
21,2018-01-30,69.028,69.653999,68.433998,69.164001,69.164001,23588500,0.0
22,2018-01-31,69.501999,71.237999,69.038002,70.862,70.862,31070500,0.25106
23,2018-02-01,70.199997,71.931999,69.725998,69.849998,69.849998,20988500,0.14521666666666666
24,2018-02-02,69.688004,70.389999,68.101997,68.75,68.75,18524000,-0.05227999999999999
